SubjectName;FixationCount;FixationCountPerSec;FixationDurationMean;FixationDurationMedian;SaccadeRatio;SaccadeLengthAverage;TrialSequence;TrialID;TrialName;Column1;Snippet;Indentation;SubjectID
rom;406.0;3358286.0;184461000000000.0;1205.0;619471000000000.0;1195297.0;3.0;9.0;Program2.jpg;;Program;Indent 2;bc09646b-dfee-4aac-8918-eee34b72ef2b
vrx;194.0;3853947.0;160361000000000.0;1445.0;618022000000000.0;1680994.0;0.0;8.0;Program0.jpg;;Program;Indent 0;c74c0869-2b12-4c27-9d7e-9fd793d66ef7
vrx;212.0;351226.0;157193000000000.0;1355.0;552104000000000.0;176677.0;1.0;5.0;Main2.jpg;;Main;Indent 2;c74c0869-2b12-4c27-9d7e-9fd793d66ef7
vrx;208.0;3803533.0;147861000000000.0;1285.0;562393000000000.0;168491.0;2.0;15.0;Test8.jpg;;Test;Indent 8;c74c0869-2b12-4c27-9d7e-9fd793d66ef7
vrx;170.0;3735525.0;172935000000000.0;1485.0;64600400000000.0;136474.0;3.0;2.0;Do4.jpg;;Do;Indent 4;c74c0869-2b12-4c27-9d7e-9fd793d66ef7
vx;255.0;3429678.0;191906000000000.0;162.0;658175000000000.0;1335956.0;0.0;13.0;Test2.jpg;;Test;Indent 2;54ba2190-4790-4a18-904a-ad793e801388
vx;624.0;3681785.0;175236000000000.0;150.0;645180000000000.0;146777.0;1.0;4.0;Main0.jpg;;Main;Indent 0;54ba2190-4790-4a18-904a-ad793e801388
vx;391.0;3496191.0;182645000000000.0;154.0;638560000000000.0;1358069.0;2.0;10.0;Program4.jpg;;Program;Indent 4;54ba2190-4790-4a18-904a-ad793e801388
vx;325.0;3638562.0;172523000000000.0;149.0;627736000000000.0;1329509.0;3.0;3.0;Do8.jpg;;Do;Indent 8;54ba2190-4790-4a18-904a-ad793e801388
wnp;329.0;3200638.0;16638900000000.0;134.0;532551000000000.0;1366445.0;0.0;13.0;Test2.jpg;;Test;Indent 2;d098b2cc-b54c-42aa-bc09-908e2dbbbaf3
wnp;485.0;2955533.0;170130000000000.0;135.0;502825000000000.0;1387111.0;1.0;4.0;Main0.jpg;;Main;Indent 0;d098b2cc-b54c-42aa-bc09-908e2dbbbaf3
wnp;424.0;257191.0;164752000000000.0;122.0;423728000000000.0;1271172.0;2.0;10.0;Program4.jpg;;Program;Indent 4;d098b2cc-b54c-42aa-bc09-908e2dbbbaf3
wnp;510.0;3139795.0;157104000000000.0;119.0;493274000000000.0;1079567.0;3.0;3.0;Do8.jpg;;Do;Indent 8;d098b2cc-b54c-42aa-bc09-908e2dbbbaf3
wp;324.0;3711383.0;173824000000000.0;135.0;645128000000000.0;1245208.0;0.0;13.0;Test2.jpg;;Test;Indent 2;58b0e895-0a15-4387-9e7c-061fb5cbdf20
wp;428.0;3406179.0;179236000000000.0;150.0;610510000000000.0;1339219.0;1.0;4.0;Main0.jpg;;Main;Indent 0;58b0e895-0a15-4387-9e7c-061fb5cbdf20
wp;269.0;3086137.0;237309000000000.0;165.0;732367000000000.0;1158661.0;2.0;10.0;Program4.jpg;;Program;Indent 4;58b0e895-0a15-4387-9e7c-061fb5cbdf20
wp;182.0;3290128.0;22078000000000.0;180.0;726395000000000.0;1014822.0;3.0;3.0;Do8.jpg;;Do;Indent 8;58b0e895-0a15-4387-9e7c-061fb5cbdf20
xk;594.0;3411519.0;196692000000000.0;164.0;671018000000000.0;1295459.0;0.0;6.0;Main4.jpg;;Main;Indent 4;657cdd6f-3b1b-4211-95cf-e6b348f17525
xk;283.0;3652791.0;183290000000000.0;149.0;669519000000000.0;1421509.0;1.0;9.0;Program2.jpg;;Program;Indent 2;657cdd6f-3b1b-4211-95cf-e6b348f17525
xk;255.0;3596564.0;201357000000000.0;152.0;724193000000000.0;1139964.0;2.0;15.0;Test8.jpg;;Test;Indent 8;657cdd6f-3b1b-4211-95cf-e6b348f17525
xk;247.0;393381.0;198121000000000.0;150.0;779372000000000.0;1150594.0;3.0;0.0;Do0.jpg;;Do;Indent 0;657cdd6f-3b1b-4211-95cf-e6b348f17525
xok;205.0;3717135.0;195473000000000.0;164.0;726600000000000.0;136282.0;0.0;13.0;Test2.jpg;;Test;Indent 2;d599c8c3-19c9-4a1a-b58b-4cdca90e1242
xok;449.0;3840988.0;192550000000000.0;178.0;739583000000000.0;1385776.0;1.0;4.0;Main0.jpg;;Main;Indent 0;d599c8c3-19c9-4a1a-b58b-4cdca90e1242
xok;304.0;3785002.0;192921000000000.0;1795.0;73020700000000.0;1349783.0;2.0;10.0;Program4.jpg;;Program;Indent 4;d599c8c3-19c9-4a1a-b58b-4cdca90e1242
xok;362.0;394211.0;193950000000000.0;1785.0;764573000000000.0;1278174.0;3.0;3.0;Do8.jpg;;Do;Indent 8;d599c8c3-19c9-4a1a-b58b-4cdca90e1242
yn;624.0;3806038.0;178635000000000.0;135.0;679890000000000.0;1264193.0;0.0;13.0;Test2.jpg;;Test;Indent 2;7567cd4b-d1d0-4784-afea-746593590c8a
yn;445.0;3835149.0;163301000000000.0;142.0;626284000000000.0;1243849.0;1.0;4.0;Main0.jpg;;Main;Indent 0;7567cd4b-d1d0-4784-afea-746593590c8a
yn;654.0;3827673.0;171495000000000.0;136.0;656428000000000.0;1224582.0;2.0;10.0;Program4.jpg;;Program;Indent 4;7567cd4b-d1d0-4784-afea-746593590c8a
